PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2015,47,X,2.39866,X,X,X,X,X,X,687,153,28641
States,New York,2015,47,X,0.97867,X,X,X,X,X,X,78,83,7970
States,Texas,2015,47,X,4.81392,X,X,X,X,X,X,1071,122,22248
States,Washington,2015,47,X,0.261584,X,X,X,X,X,X,7,46,2676
States,California,2015,48,X,2.02273,X,X,X,X,X,X,936,152,46274
States,New York,2015,48,X,1.1818,X,X,X,X,X,X,141,80,11931
States,Texas,2015,48,X,4.43529,X,X,X,X,X,X,1411,122,31813
States,Washington,2015,48,X,0.285497,X,X,X,X,X,X,15,46,5254
States,California,2015,49,X,2.07101,X,X,X,X,X,X,938,152,45292
States,New York,2015,49,X,1.51335,X,X,X,X,X,X,178,77,11762
States,Texas,2015,49,X,4.49576,X,X,X,X,X,X,1320,119,29361
States,Washington,2015,49,X,0.497696,X,X,X,X,X,X,27,45,5425
States,California,2015,50,X,2.17017,X,X,X,X,X,X,856,149,39444
States,New York,2015,50,X,1.25511,X,X,X,X,X,X,129,80,10278
States,Texas,2015,50,X,4.67202,X,X,X,X,X,X,1391,121,29773
States,Washington,2015,50,X,0.391349,X,X,X,X,X,X,19,46,4855
States,California,2015,51,X,2.91333,X,X,X,X,X,X,723,145,24817
States,New York,2015,51,X,2.14651,X,X,X,X,X,X,126,80,5870
States,Texas,2015,51,X,5.12797,X,X,X,X,X,X,1110,121,21646
States,Washington,2015,51,X,0.583745,X,X,X,X,X,X,13,46,2227
States,California,2015,52,X,3.27722,X,X,X,X,X,X,806,139,24594
States,New York,2015,52,X,1.97842,X,X,X,X,X,X,99,78,5004
States,Texas,2015,52,X,5.70737,X,X,X,X,X,X,1274,120,22322
States,Washington,2015,52,X,0.747384,X,X,X,X,X,X,20,46,2676
States,California,2016,1,X,2.5018,X,X,X,X,X,X,1077,153,43049
States,New York,2016,1,X,1.15723,X,X,X,X,X,X,92,75,7950
States,Texas,2016,1,X,4.68602,X,X,X,X,X,X,1282,120,27358
States,Washington,2016,1,X,0.554201,X,X,X,X,X,X,25,45,4511
States,California,2016,2,X,2.47039,X,X,X,X,X,X,1043,143,42220
States,New York,2016,2,X,2.56989,X,X,X,X,X,X,205,78,7977
States,Texas,2016,2,X,4.16846,X,X,X,X,X,X,1164,121,27924
States,Washington,2016,2,X,0.797147,X,X,X,X,X,X,38,45,4767
States,California,2016,3,X,2.68971,X,X,X,X,X,X,1097,138,40785
States,New York,2016,3,X,1.90067,X,X,X,X,X,X,155,82,8155
States,Texas,2016,3,X,4.36048,X,X,X,X,X,X,1318,123,30226
States,Washington,2016,3,X,1.0872,X,X,X,X,X,X,49,45,4507
States,California,2016,4,X,2.83328,X,X,X,X,X,X,1347,148,47542
States,New York,2016,4,X,1.6013,X,X,X,X,X,X,167,81,10429
States,Texas,2016,4,X,4.96129,X,X,X,X,X,X,1551,122,31262
States,Washington,2016,4,X,1.01818,X,X,X,X,X,X,56,46,5500
States,California,2016,5,X,3.28407,X,X,X,X,X,X,1600,152,48720
States,New York,2016,5,X,1.7329,X,X,X,X,X,X,191,83,11022
States,Texas,2016,5,X,4.89241,X,X,X,X,X,X,1512,123,30905
States,Washington,2016,5,X,1.28357,X,X,X,X,X,X,76,47,5921
States,California,2016,6,X,3.91439,X,X,X,X,X,X,1882,146,48079
States,New York,2016,6,X,2.71642,X,X,X,X,X,X,273,80,10050
States,Texas,2016,6,X,5.62804,X,X,X,X,X,X,1816,122,32267
States,Washington,2016,6,X,1.78059,X,X,X,X,X,X,93,45,5223
States,California,2016,7,X,4.39619,X,X,X,X,X,X,1893,139,43060
States,New York,2016,7,X,1.76664,X,X,X,X,X,X,172,80,9736
States,Texas,2016,7,X,6.36256,X,X,X,X,X,X,2035,120,31984
States,Washington,2016,7,X,2.35294,X,X,X,X,X,X,120,44,5100
States,California,2016,8,X,3.73143,X,X,X,X,X,X,1859,147,49820
States,New York,2016,8,X,2.83297,X,X,X,X,X,X,288,79,10166
States,Texas,2016,8,X,4.48169,X,X,X,X,X,X,1147,86,25593
States,Washington,2016,8,X,2.10858,X,X,X,X,X,X,127,45,6023
States,California,2016,9,X,3.63724,X,X,X,X,X,X,1804,148,49598
States,New York,2016,9,X,3.41463,X,X,X,X,X,X,357,80,10455
States,Texas,2016,9,X,4.7195,X,X,X,X,X,X,1203,83,25490
States,Washington,2016,9,X,1.66157,X,X,X,X,X,X,87,36,5236
States,California,2016,10,X,3.69442,X,X,X,X,X,X,1636,129,44283
States,New York,2016,10,X,3.41609,X,X,X,X,X,X,366,79,10714
States,Texas,2016,10,X,4.01485,X,X,X,X,X,X,941,81,23438
States,Washington,2016,10,X,1.42261,X,X,X,X,X,X,75,35,5272
States,California,2016,11,X,3.19283,X,X,X,X,X,X,1293,125,40497
States,New York,2016,11,X,3.80303,X,X,X,X,X,X,346,75,9098
States,Texas,2016,11,X,3.73119,X,X,X,X,X,X,749,81,20074
States,Washington,2016,11,X,1.15516,X,X,X,X,X,X,44,35,3809
States,California,2016,12,X,2.99262,X,X,X,X,X,X,1201,139,40132
States,New York,2016,12,X,2.89463,X,X,X,X,X,X,278,72,9604
States,Texas,2016,12,X,3.46318,X,X,X,X,X,X,777,81,22436
States,Washington,2016,12,X,1.80846,X,X,X,X,X,X,71,36,3926
States,California,2016,13,X,2.80927,X,X,X,X,X,X,1053,131,37483
States,New York,2016,13,X,1.59898,X,X,X,X,X,X,113,47,7067
States,Texas,2016,13,X,3.2444,X,X,X,X,X,X,760,80,23425
States,Washington,2016,13,X,1.25404,X,X,X,X,X,X,66,35,5263
States,California,2016,14,X,2.11652,X,X,X,X,X,X,938,139,44318
States,New York,2016,14,X,1.35135,X,X,X,X,X,X,97,45,7178
States,Texas,2016,14,X,2.83508,X,X,X,X,X,X,569,61,20070
States,Washington,2016,14,X,1.17793,X,X,X,X,X,X,57,35,4839
States,California,2016,15,X,1.92403,X,X,X,X,X,X,855,133,44438
States,New York,2016,15,X,1.53967,X,X,X,X,X,X,118,41,7664
States,Texas,2016,15,X,3.25267,X,X,X,X,X,X,789,77,24257
States,Washington,2016,15,X,0.897244,X,X,X,X,X,X,42,33,4681
States,California,2016,16,X,1.62852,X,X,X,X,X,X,710,128,43598
States,New York,2016,16,X,1.09692,X,X,X,X,X,X,79,40,7202
States,Texas,2016,16,X,3.57929,X,X,X,X,X,X,846,75,23636
States,Washington,2016,16,X,0.468484,X,X,X,X,X,X,22,31,4696
States,California,2016,17,X,1.73597,X,X,X,X,X,X,711,123,40957
States,New York,2016,17,X,1.0275,X,X,X,X,X,X,68,40,6618
States,Texas,2016,17,X,3.0393,X,X,X,X,X,X,747,79,24578
States,Washington,2016,17,X,0.653457,X,X,X,X,X,X,31,32,4744
States,California,2016,18,X,1.84902,X,X,X,X,X,X,726,115,39264
States,New York,2016,18,X,0.858972,X,X,X,X,X,X,55,37,6403
States,Texas,2016,18,X,2.74919,X,X,X,X,X,X,617,77,22443
States,Washington,2016,18,X,0.847817,X,X,X,X,X,X,20,26,2359
States,California,2016,19,X,1.53059,X,X,X,X,X,X,586,109,38286
States,New York,2016,19,X,0.552289,X,X,X,X,X,X,31,36,5613
States,Texas,2016,19,X,2.30401,X,X,X,X,X,X,472,73,20486
States,Washington,2016,19,X,0.390054,X,X,X,X,X,X,16,31,4102
States,California,2016,20,X,1.48681,X,X,X,X,X,X,527,102,35445
States,New York,2016,20,X,0.529832,X,X,X,X,X,X,23,34,4341
States,Texas,2016,20,X,2.35638,X,X,X,X,X,X,459,76,19479
States,Washington,2016,20,X,0.378597,X,X,X,X,X,X,15,31,3962
States,California,2016,21,X,1.44399,X,X,X,X,X,X,515,99,35665
States,New York,2016,21,X,0.327198,X,X,X,X,X,X,8,30,2445
States,Texas,2016,21,X,2.78809,X,X,X,X,X,X,518,74,18579
States,Washington,2016,21,X,0.283186,X,X,X,X,X,X,8,25,2825
States,California,2016,22,X,1.37865,X,X,X,X,X,X,417,105,30247
States,New York,2016,22,X,0,X,X,X,X,X,X,0,32,1965
States,Texas,2016,22,X,2.47401,X,X,X,X,X,X,395,72,15966
States,Washington,2016,22,X,0.299177,X,X,X,X,X,X,8,24,2674
States,California,2016,23,X,1.36671,X,X,X,X,X,X,440,97,32194
States,New York,2016,23,X,0,X,X,X,X,X,X,0,32,2372
States,Texas,2016,23,X,1.99249,X,X,X,X,X,X,276,49,13852
States,Washington,2016,23,X,0.4,X,X,X,X,X,X,13,24,3250
States,California,2016,24,X,1.2644,X,X,X,X,X,X,395,102,31240
States,New York,2016,24,X,0.0979912,X,X,X,X,X,X,2,30,2041
States,Texas,2016,24,X,2.1005,X,X,X,X,X,X,362,69,17234
States,Washington,2016,24,X,0.328947,X,X,X,X,X,X,8,24,2432
States,California,2016,25,X,1.15867,X,X,X,X,X,X,376,100,32451
States,New York,2016,25,X,0.0453926,X,X,X,X,X,X,1,31,2203
States,Texas,2016,25,X,1.87159,X,X,X,X,X,X,316,68,16884
States,Washington,2016,25,X,0.229797,X,X,X,X,X,X,6,20,2611
States,California,2016,26,X,1.21986,X,X,X,X,X,X,381,96,31233
States,New York,2016,26,X,0.0457247,X,X,X,X,X,X,1,31,2187
States,Texas,2016,26,X,1.84575,X,X,X,X,X,X,297,65,16091
States,Washington,2016,26,X,0.178063,X,X,X,X,X,X,5,24,2808
States,California,2016,27,X,1.14608,X,X,X,X,X,X,299,97,26089
States,New York,2016,27,X,0,X,X,X,X,X,X,0,31,1800
States,Texas,2016,27,X,1.66667,X,X,X,X,X,X,248,68,14880
States,Washington,2016,27,X,0.247321,X,X,X,X,X,X,6,25,2426
States,California,2016,28,X,1.04573,X,X,X,X,X,X,324,98,30983
States,New York,2016,28,X,0.0838926,X,X,X,X,X,X,2,30,2384
States,Texas,2016,28,X,1.55492,X,X,X,X,X,X,189,68,12155
States,Washington,2016,28,X,0.239398,X,X,X,X,X,X,7,24,2924
States,California,2016,29,X,0.904141,X,X,X,X,X,X,269,96,29752
States,New York,2016,29,X,0,X,X,X,X,X,X,0,29,1968
States,Texas,2016,29,X,1.42177,X,X,X,X,X,X,239,67,16810
States,Washington,2016,29,X,0.177179,X,X,X,X,X,X,5,24,2822
States,California,2016,30,X,0.856349,X,X,X,X,X,X,262,96,30595
States,New York,2016,30,X,0,X,X,X,X,X,X,0,30,2143
States,Texas,2016,30,X,1.57115,X,X,X,X,X,X,261,67,16612
States,Washington,2016,30,X,0.220669,X,X,X,X,X,X,6,24,2719
States,California,2016,31,X,0.85127,X,X,X,X,X,X,246,82,28898
States,New York,2016,31,X,0.110742,X,X,X,X,X,X,2,26,1806
States,Texas,2016,31,X,1.27404,X,X,X,X,X,X,216,67,16954
States,Washington,2016,31,X,0.118812,X,X,X,X,X,X,3,24,2525
States,California,2016,32,X,0.896093,X,X,X,X,X,X,267,83,29796
States,New York,2016,32,X,0,X,X,X,X,X,X,0,26,1638
States,Texas,2016,32,X,1.30064,X,X,X,X,X,X,209,62,16069
States,Washington,2016,32,X,0.110824,X,X,X,X,X,X,3,24,2707
States,California,2016,33,X,1.00994,X,X,X,X,X,X,310,83,30695
States,New York,2016,33,X,0.182039,X,X,X,X,X,X,3,23,1648
States,Texas,2016,33,X,1.31155,X,X,X,X,X,X,224,65,17079
States,Washington,2016,33,X,0.124108,X,X,X,X,X,X,4,25,3223
States,California,2016,34,X,1.04709,X,X,X,X,X,X,342,81,32662
States,New York,2016,34,X,0.031506,X,X,X,X,X,X,1,21,3174
States,Texas,2016,34,X,1.76582,X,X,X,X,X,X,336,66,19028
States,Washington,2016,34,X,0.139704,X,X,X,X,X,X,5,35,3579
States,California,2016,35,X,1.30993,X,X,X,X,X,X,447,82,34124
States,New York,2016,35,X,0,X,X,X,X,X,X,0,24,4301
States,Texas,2016,35,X,2.89706,X,X,X,X,X,X,423,64,14601
States,Washington,2016,35,X,0.0718133,X,X,X,X,X,X,2,35,2785
States,California,2016,36,X,1.36273,X,X,X,X,X,X,398,81,29206
States,New York,2016,36,X,0.0777605,X,X,X,X,X,X,3,24,3858
States,Texas,2016,36,X,3.0076,X,X,X,X,X,X,534,63,17755
States,Washington,2016,36,X,0.218579,X,X,X,X,X,X,4,30,1830
States,California,2016,37,X,1.71708,X,X,X,X,X,X,604,86,35176
States,New York,2016,37,X,0.183486,X,X,X,X,X,X,9,24,4905
States,Texas,2016,37,X,2.60465,X,X,X,X,X,X,509,61,19542
States,Washington,2016,37,X,0.29615,X,X,X,X,X,X,6,29,2026
States,California,2016,38,X,1.78398,X,X,X,X,X,X,624,88,34978
States,New York,2016,38,X,0.0412967,X,X,X,X,X,X,2,24,4843
States,Texas,2016,38,X,2.57309,X,X,X,X,X,X,367,60,14263
States,Washington,2016,38,X,0.179579,X,X,X,X,X,X,7,22,3898
States,California,2016,39,X,1.65703,X,X,X,X,X,X,636,95,38382
States,New York,2016,39,X,0.164406,X,X,X,X,X,X,8,25,4866
States,Texas,2016,39,X,2.75084,X,X,X,X,X,X,400,60,14541
States,Washington,2016,39,X,0.261976,X,X,X,X,X,X,7,30,2672
States,California,2016,40,X,1.25288,X,X,X,X,X,X,668,129,53317
States,New York,2016,40,X,0.725918,X,X,X,X,X,X,115,66,15842
States,Texas,2016,40,X,2.08692,X,X,X,X,X,X,654,120,31338
States,Washington,2016,40,X,0.350467,X,X,X,X,X,X,18,46,5136
States,California,2016,41,X,1.39291,X,X,X,X,X,X,760,134,54562
States,New York,2016,41,X,0.945864,X,X,X,X,X,X,141,64,14907
States,Texas,2016,41,X,1.95234,X,X,X,X,X,X,571,117,29247
States,Washington,2016,41,X,0.48216,X,X,X,X,X,X,15,41,3111
States,California,2016,42,X,1.51631,X,X,X,X,X,X,812,131,53551
States,New York,2016,42,X,1.10167,X,X,X,X,X,X,175,65,15885
States,Texas,2016,42,X,1.84806,X,X,X,X,X,X,541,114,29274
States,Washington,2016,42,X,0.383142,X,X,X,X,X,X,20,46,5220
States,California,2016,43,X,1.52383,X,X,X,X,X,X,833,130,54665
States,New York,2016,43,X,0.898849,X,X,X,X,X,X,146,67,16243
States,Texas,2016,43,X,2.06247,X,X,X,X,X,X,589,114,28558
States,Washington,2016,43,X,0.43225,X,X,X,X,X,X,23,47,5321
States,California,2016,44,X,1.57619,X,X,X,X,X,X,849,132,53864
States,New York,2016,44,X,0.918,X,X,X,X,X,X,148,71,16122
States,Texas,2016,44,X,2.01191,X,X,X,X,X,X,581,112,28878
States,Washington,2016,44,X,0.374016,X,X,X,X,X,X,19,48,5080
States,California,2016,45,X,1.74694,X,X,X,X,X,X,942,136,53923
States,New York,2016,45,X,1.22738,X,X,X,X,X,X,194,69,15806
States,Texas,2016,45,X,2.08512,X,X,X,X,X,X,607,116,29111
States,Washington,2016,45,X,0.451516,X,X,X,X,X,X,21,38,4651
States,California,2016,46,X,1.7768,X,X,X,X,X,X,993,133,55887
States,New York,2016,46,X,1.12103,X,X,X,X,X,X,182,70,16235
States,Texas,2016,46,X,2.24903,X,X,X,X,X,X,673,116,29924
States,Washington,2016,46,X,0.57959,X,X,X,X,X,X,28,47,4831
States,California,2016,47,X,2.14459,X,X,X,X,X,X,865,133,40334
States,New York,2016,47,X,1.74806,X,X,X,X,X,X,194,72,11098
States,Texas,2016,47,X,2.59299,X,X,X,X,X,X,550,114,21211
States,Washington,2016,47,X,0.7109,X,X,X,X,X,X,21,47,2954
States,California,2016,48,X,2.00773,X,X,X,X,X,X,1091,132,54340
States,New York,2016,48,X,1.62637,X,X,X,X,X,X,261,71,16048
States,Texas,2016,48,X,2.49507,X,X,X,X,X,X,696,112,27895
States,Washington,2016,48,X,0.59952,X,X,X,X,X,X,30,47,5004
States,California,2016,49,X,2.07484,X,X,X,X,X,X,1114,133,53691
States,New York,2016,49,X,1.45618,X,X,X,X,X,X,223,70,15314
States,Texas,2016,49,X,3.06871,X,X,X,X,X,X,816,113,26591
States,Washington,2016,49,X,0.528493,X,X,X,X,X,X,23,38,4352
States,California,2016,50,X,2.37525,X,X,X,X,X,X,1190,124,50100
States,New York,2016,50,X,1.47612,X,X,X,X,X,X,208,69,14091
States,Texas,2016,50,X,3.41272,X,X,X,X,X,X,887,111,25991
States,Washington,2016,50,X,1.35041,X,X,X,X,X,X,58,46,4295
States,California,2016,51,X,2.87829,X,X,X,X,X,X,1233,122,42838
States,New York,2016,51,X,3.14039,X,X,X,X,X,X,389,68,12387
States,Texas,2016,51,X,4.10321,X,X,X,X,X,X,951,108,23177
States,Washington,2016,51,X,2.45626,X,X,X,X,X,X,73,46,2972
States,California,2016,52,X,3.52608,X,X,X,X,X,X,1419,128,40243
States,New York,2016,52,X,5.42753,X,X,X,X,X,X,537,64,9894
States,Texas,2016,52,X,4.32471,X,X,X,X,X,X,960,109,22198
States,Washington,2016,52,X,3.2281,X,X,X,X,X,X,91,46,2819
States,California,2017,1,X,3.2667,X,X,X,X,X,X,1559,133,47724
States,New York,2017,1,X,5.17272,X,X,X,X,X,X,584,65,11290
States,Texas,2017,1,X,4.19085,X,X,X,X,X,X,1076,113,25675
States,Washington,2017,1,X,2.53727,X,X,X,X,X,X,97,46,3823
States,California,2017,2,X,2.9995,X,X,X,X,X,X,1490,129,49675
States,New York,2017,2,X,5.93932,X,X,X,X,X,X,736,67,12392
States,Texas,2017,2,X,5.06267,X,X,X,X,X,X,1450,112,28641
States,Washington,2017,2,X,2.26771,X,X,X,X,X,X,113,45,4983
States,California,2017,3,X,2.77799,X,X,X,X,X,X,1441,129,51872
States,New York,2017,3,X,6.78861,X,X,X,X,X,X,913,68,13449
States,Texas,2017,3,X,5.47691,X,X,X,X,X,X,1563,112,28538
States,Washington,2017,3,X,4.19013,X,X,X,X,X,X,186,45,4439
States,California,2017,4,X,3.11572,X,X,X,X,X,X,1700,129,54562
States,New York,2017,4,X,7.54014,X,X,X,X,X,X,1174,69,15570
States,Texas,2017,4,X,6.20619,X,X,X,X,X,X,1868,109,30099
States,Washington,2017,4,X,2.70833,X,X,X,X,X,X,130,45,4800
States,California,2017,5,X,3.19202,X,X,X,X,X,X,1667,121,52224
States,New York,2017,5,X,8.68115,X,X,X,X,X,X,1431,69,16484
States,Texas,2017,5,X,8.48188,X,X,X,X,X,X,2774,112,32705
States,Washington,2017,5,X,2.04619,X,X,X,X,X,X,101,47,4936
States,California,2017,6,X,2.69419,X,X,X,X,X,X,1395,118,51778
States,New York,2017,6,X,9.81455,X,X,X,X,X,X,1466,68,14937
States,Texas,2017,6,X,10.2826,X,X,X,X,X,X,3508,113,34116
States,Washington,2017,6,X,1.25434,X,X,X,X,X,X,47,47,3747
States,California,2017,7,X,2.52341,X,X,X,X,X,X,1245,113,49338
States,New York,2017,7,X,8.27769,X,X,X,X,X,X,1153,66,13929
States,Texas,2017,7,X,9.2512,X,X,X,X,X,X,2592,90,28018
States,Washington,2017,7,X,0.893441,X,X,X,X,X,X,41,47,4589
States,California,2017,8,X,2.38854,X,X,X,X,X,X,1080,107,45216
States,New York,2017,8,X,6.33198,X,X,X,X,X,X,811,67,12808
States,Texas,2017,8,X,8.99901,X,X,X,X,X,X,2635,106,29281
States,Washington,2017,8,X,0.771325,X,X,X,X,X,X,34,47,4408
States,California,2017,9,X,2.14593,X,X,X,X,X,X,1082,112,50421
States,New York,2017,9,X,2.9721,X,X,X,X,X,X,407,67,13694
States,Texas,2017,9,X,7.50649,X,X,X,X,X,X,2256,107,30054
States,Washington,2017,9,X,0.748823,X,X,X,X,X,X,35,46,4674
States,California,2017,10,X,2.17089,X,X,X,X,X,X,1091,111,50256
States,New York,2017,10,X,3.20508,X,X,X,X,X,X,419,66,13073
States,Texas,2017,10,X,7.26928,X,X,X,X,X,X,2107,105,28985
States,Washington,2017,10,X,0.422476,X,X,X,X,X,X,20,47,4734
States,California,2017,11,X,2.33598,X,X,X,X,X,X,1155,112,49444
States,New York,2017,11,X,3.91216,X,X,X,X,X,X,383,64,9790
States,Texas,2017,11,X,5.85242,X,X,X,X,X,X,1403,104,23973
States,Washington,2017,11,X,0.693333,X,X,X,X,X,X,26,46,3750
States,California,2017,12,X,1.95979,X,X,X,X,X,X,925,104,47199
States,New York,2017,12,X,3.57547,X,X,X,X,X,X,505,68,14124
States,Texas,2017,12,X,4.48645,X,X,X,X,X,X,1258,104,28040
States,Washington,2017,12,X,0.505863,X,X,X,X,X,X,22,45,4349
States,California,2017,13,X,1.96521,X,X,X,X,X,X,845,102,42998
States,New York,2017,13,X,4.58545,X,X,X,X,X,X,568,66,12387
States,Texas,2017,13,X,4.00722,X,X,X,X,X,X,1065,101,26577
States,Washington,2017,13,X,0.715084,X,X,X,X,X,X,32,45,4475
States,California,2017,14,X,1.73982,X,X,X,X,X,X,809,104,46499
States,New York,2017,14,X,4.82565,X,X,X,X,X,X,584,62,12102
States,Texas,2017,14,X,3.50145,X,X,X,X,X,X,906,101,25875
States,Washington,2017,14,X,0.385542,X,X,X,X,X,X,16,44,4150
States,California,2017,15,X,1.59589,X,X,X,X,X,X,746,103,46745
States,New York,2017,15,X,3.25149,X,X,X,X,X,X,343,58,10549
States,Texas,2017,15,X,3.41597,X,X,X,X,X,X,835,99,24444
States,Washington,2017,15,X,0.362319,X,X,X,X,X,X,16,44,4416
States,California,2017,16,X,1.62994,X,X,X,X,X,X,776,103,47609
States,New York,2017,16,X,1.9606,X,X,X,X,X,X,209,56,10660
States,Texas,2017,16,X,3.39009,X,X,X,X,X,X,665,83,19616
States,Washington,2017,16,X,0.348594,X,X,X,X,X,X,15,44,4303
States,California,2017,17,X,1.6618,X,X,X,X,X,X,797,103,47960
States,New York,2017,17,X,1.9738,X,X,X,X,X,X,217,57,10994
States,Texas,2017,17,X,2.76932,X,X,X,X,X,X,755,101,27263
States,Washington,2017,17,X,0.350416,X,X,X,X,X,X,16,44,4566
States,California,2017,18,X,1.46371,X,X,X,X,X,X,660,92,45091
States,New York,2017,18,X,1.96009,X,X,X,X,X,X,221,56,11275
States,Texas,2017,18,X,2.62245,X,X,X,X,X,X,665,97,25358
States,Washington,2017,18,X,0.272789,X,X,X,X,X,X,12,44,4399
States,California,2017,19,X,1.43326,X,X,X,X,X,X,629,95,43886
States,New York,2017,19,X,1.4525,X,X,X,X,X,X,163,55,11222
States,Texas,2017,19,X,1.72152,X,X,X,X,X,X,419,98,24339
States,Washington,2017,19,X,0.37746,X,X,X,X,X,X,14,40,3709
States,California,2017,20,X,1.4245,X,X,X,X,X,X,640,96,44928
States,New York,2017,20,X,1.47045,X,X,X,X,X,X,154,54,10473
States,Texas,2017,20,X,2.30259,X,X,X,X,X,X,552,98,23973
States,Washington,2017,20,X,0.46454,X,X,X,X,X,X,15,44,3229
States,California,2017,21,X,1.39117,X,X,X,X,X,X,551,85,39607
States,New York,2017,21,X,1.64255,X,X,X,X,X,X,143,44,8706
States,Texas,2017,21,X,2.14023,X,X,X,X,X,X,471,94,22007
States,Washington,2017,21,X,0.259441,X,X,X,X,X,X,9,41,3469
States,California,2017,22,X,1.39993,X,X,X,X,X,X,449,75,32073
States,New York,2017,22,X,1.66997,X,X,X,X,X,X,101,43,6048
States,Texas,2017,22,X,1.79865,X,X,X,X,X,X,360,93,20015
States,Washington,2017,22,X,0.40549,X,X,X,X,X,X,13,41,3206
States,California,2017,23,X,1.6159,X,X,X,X,X,X,608,81,37626
States,New York,2017,23,X,1.43437,X,X,X,X,X,X,106,42,7390
States,Texas,2017,23,X,1.79529,X,X,X,X,X,X,385,96,21445
States,Washington,2017,23,X,0.0952986,X,X,X,X,X,X,3,25,3148
States,California,2017,24,X,1.2838,X,X,X,X,X,X,470,75,36610
States,New York,2017,24,X,1.36968,X,X,X,X,X,X,104,43,7593
States,Texas,2017,24,X,1.57771,X,X,X,X,X,X,329,95,20853
States,Washington,2017,24,X,0.334324,X,X,X,X,X,X,9,14,2692
States,California,2017,25,X,1.25237,X,X,X,X,X,X,463,77,36970
States,New York,2017,25,X,1.38908,X,X,X,X,X,X,100,42,7199
States,Texas,2017,25,X,1.50002,X,X,X,X,X,X,302,92,20133
States,Washington,2017,25,X,0.352113,X,X,X,X,X,X,4,32,1136
States,California,2017,26,X,1.39657,X,X,X,X,X,X,470,75,33654
States,New York,2017,26,X,1.18149,X,X,X,X,X,X,83,43,7025
States,Texas,2017,26,X,1.52211,X,X,X,X,X,X,252,78,16556
States,Washington,2017,26,X,0.187617,X,X,X,X,X,X,5,35,2665
States,California,2017,27,X,1.31237,X,X,X,X,X,X,369,74,28117
States,New York,2017,27,X,1.1153,X,X,X,X,X,X,74,43,6635
States,Texas,2017,27,X,1.39677,X,X,X,X,X,X,256,94,18328
States,Washington,2017,27,X,0.176991,X,X,X,X,X,X,4,34,2260
States,California,2017,28,X,1.12425,X,X,X,X,X,X,366,73,32555
States,New York,2017,28,X,0.998308,X,X,X,X,X,X,59,43,5910
States,Texas,2017,28,X,1.21989,X,X,X,X,X,X,238,95,19510
States,Washington,2017,28,X,0.122449,X,X,X,X,X,X,3,34,2450
States,California,2017,29,X,1.09387,X,X,X,X,X,X,397,72,36293
States,New York,2017,29,X,1.07903,X,X,X,X,X,X,74,42,6858
